Id,time,T_min,T_mean,T_max,P_min,P_mean,P_max,U_min,U_mean,U_max,Ff_min,Ff_mean,Ff_max,N_min,N_mean,N_max,VV_min,VV_mean,VV_max,RRR_min,RRR_mean,RRR_max,y
15,2021-04-20 00:00:00+03:00,2.4,5.3,8.7,762.0,765.7875,768.1,37,57.0,94,5,6.5,10,0.75,0.925,1.0,8.0,9.75,10.0,0.0,2.0,4.0,1
16,2021-04-21 00:00:00+03:00,0.6,3.2625,5.2,752.3,755.35,759.4,83,89.5,96,2,4.5,8,0.95,0.98125,1.0,1.7,8.3375,10.0,0.6,4.8,9.0,0
17,2021-04-22 00:00:00+03:00,5.0,8.125,11.6,758.2,759.675,761.1,64,76.125,86,4,5.375,10,0.5,0.8,1.0,6.0,9.5,10.0,0.0,1.0,2.0,1
18,2021-04-23 00:00:00+03:00,6.2,9.775,13.9,758.6,759.825,760.8,61,75.125,94,3,5.125,8,0.25,0.69375,0.95,2.3,9.0375,10.0,0.0,5.0,10.0,0
19,2021-04-24 00:00:00+03:00,2.2,4.1125,5.5,753.9,755.625,759.3,83,88.375,93,2,4.375,7,1.0,1.0,1.0,6.0,7.125,10.0,4.0,5.0,6.0,0
20,2021-04-25 00:00:00+03:00,0.8,3.2875,5.4,753.5,754.6875,757.1,45,68.5,89,7,9.625,13,0.6,0.86875,1.0,10.0,10.0,10.0,0.0,0.25,0.5,0
21,2021-04-26 00:00:00+03:00,0.8,4.475,7.1,757.4,758.2625,759.0,35,56.625,74,3,6.125,9,0.25,0.5375,0.75,10.0,10.0,10.0,0.0,0.0,0.0,1
22,2021-04-27 00:00:00+03:00,1.1,2.675,3.6,755.1,755.95,757.8,62,77.875,89,0,2.625,5,1.0,1.0,1.0,6.0,9.5,10.0,0.05,2.525,5.0,0
23,2021-04-28 00:00:00+03:00,0.6,4.1,7.6,755.4,758.9,761.4,59,77.875,88,4,5.5,6,0.25,0.7625,0.95,10.0,10.0,10.0,0.05,2.025,4.0,1
24,2021-04-29 00:00:00+03:00,2.6,6.0,10.1,762.3,763.575,764.6,41,63.5,88,2,4.125,6,0.25,0.6625,0.95,10.0,10.0,10.0,0.0,0.25,0.5,1
25,2021-04-30 00:00:00+03:00,4.7,9.1625,14.8,751.4,757.0375,762.7,49,69.125,92,2,4.0,6,0.75,0.91875,1.0,2.6,9.075,10.0,0.0,2.0,4.0,1
26,2021-05-01 00:00:00+03:00,-2.8,-1.8375,-1.1,771.1,771.675,772.1,91,94.0,97,2,3.375,5,1.0,1.0,1.0,0.8,2.9875,6.0,0.05,0.05,0.05,1
27,2021-05-02 00:00:00+03:00,-12.6,-10.4,-7.6,752.6,755.025,756.8,69,76.625,86,5,6.125,8,0.4,0.81875,1.0,2.0,7.528571428571429,10.0,0.5,1.25,2.0,1
28,2021-05-03 00:00:00+03:00,-6.3,-4.55,-2.5,751.6,755.4375,759.7,55,73.625,91,2,4.375,6,0.0,0.53125,0.95,0.8,8.85,10.0,0.0,0.2,0.4,0
29,2021-05-07 00:00:00+03:00,16.3,21.0,25.2,760.6,761.4875,762.0,34,51.875,68,0,4.5,6,0.0,0.225,0.4,10.0,10.0,10.0,0.0,0.0,0.0,1
30,2021-05-08 00:00:00+03:00,12.1,16.75,21.6,760.6,762.3375,763.4,53,76.625,93,1,3.0,5,0.25,0.65625,1.0,1.2,8.9,10.0,0.0,2.0,4.0,0
31,2021-05-09 00:00:00+03:00,5.3,6.9875,9.2,758.2,762.0875,765.4,68,81.875,89,4,5.125,6,0.25,0.80625,1.0,10.0,10.0,10.0,0.05,0.05,0.05,1
32,2021-05-10 00:00:00+03:00,2.6,6.2625,10.1,779.4,780.0625,780.4,63,82.625,98,3,4.5,6,0.0,0.73125,1.0,0.1,7.285714285714286,10.0,0.0,0.0,0.0,1
33,2021-05-11 00:00:00+03:00,6.4,9.125,11.4,759.0,763.5375,767.8,84,90.75,95,2,5.5,7,0.75,0.9625,1.0,4.0,7.75,10.0,0.0,0.35,0.7,1
34,2021-05-12 00:00:00+03:00,-7.1,-4.725,-2.2,758.6,760.0375,762.6,81,90.75,94,0,2.875,4,0.75,0.95625,1.0,1.0,3.75,10.0,1.0,1.5,2.0,1
35,2021-05-13 00:00:00+03:00,9.7,14.399999999999999,17.9,761.2,762.9125,764.8,40,61.875,87,2,4.625,7,0.4,0.65,1.0,10.0,10.0,10.0,0.05,0.05,0.05,1
36,2021-05-14 00:00:00+03:00,9.9,15.725,21.6,758.8,761.3125,762.9,40,67.25,91,2,3.75,5,0.25,0.60625,1.0,10.0,10.0,10.0,0.0,0.5,1.0,1
37,2021-05-15 00:00:00+03:00,12.7,17.9125,25.1,753.7,755.825,757.5,34,68.375,91,3,4.5,8,0.4,0.71875,0.95,10.0,10.0,10.0,0.0,2.5,5.0,1
38,2021-05-16 00:00:00+03:00,12.5,17.2875,22.3,757.2,758.5375,759.6,41,64.75,87,2,4.875,7,0.25,0.44375,0.6,10.0,10.0,10.0,0.0,0.0,0.0,1
39,2021-05-17 00:00:00+03:00,11.7,21.225,29.2,755.8,758.725,760.8,29,52.75,88,2,4.875,9,0.25,0.38125,0.6,10.0,10.0,10.0,0.0,0.0,0.0,1
40,2021-05-18 00:00:00+03:00,15.5,23.3125,29.9,753.7,755.275,756.3,17,35.875,59,3,6.625,10,0.25,0.36875,0.6,10.0,10.0,10.0,0.0,0.0,0.0,1
41,2021-05-19 00:00:00+03:00,18.3,21.85,24.1,752.2,753.625,754.7,27,42.5,54,2,6.25,9,0.25,0.53125,0.75,10.0,10.0,10.0,0.0,0.0,0.0,1
42,2021-05-20 00:00:00+03:00,15.3,16.925,18.4,751.6,752.55,753.7,64,69.625,78,2,4.75,6,0.4,0.68125,0.95,10.0,10.0,10.0,0.3,0.44999999999999996,0.6,1
43,2021-05-21 00:00:00+03:00,11.9,13.3625,15.4,750.6,753.275,756.8,57,74.75,84,2,5.5,9,0.4,0.725,1.0,10.0,10.0,10.0,0.3,0.35,0.4,1
44,2021-05-22 00:00:00+03:00,7.9,14.6375,20.5,758.3,759.7625,760.5,32,50.0,72,2,4.625,7,0.0,0.31875,0.6,10.0,10.0,10.0,0.0,0.0,0.0,1
45,2021-05-23 00:00:00+03:00,12.9,16.8375,21.6,757.0,758.8875,760.5,29,47.75,68,2,4.875,8,0.0,0.4,0.95,10.0,10.0,10.0,0.0,0.2,0.4,1
46,2021-05-24 00:00:00+03:00,10.1,14.9375,19.2,758.8,762.0,764.5,32,55.25,79,4,6.0,8,0.25,0.3875,0.6,10.0,10.0,10.0,0.0,0.0,0.0,1
47,2021-05-25 00:00:00+03:00,10.0,15.325,19.8,765.4,766.45,767.4,32,51.75,81,2,3.5,5,0.0,0.5125,1.0,10.0,10.0,10.0,0.0,0.0,0.0,1
48,2021-05-26 00:00:00+03:00,11.1,18.1375,23.4,762.7,764.95,766.8,32,50.0,78,1,3.0,5,0.25,0.6375,1.0,10.0,10.0,10.0,0.0,0.025,0.05,1
49,2021-05-27 00:00:00+03:00,14.9,16.7875,20.1,761.8,763.0,763.6,62,83.25,94,1,2.125,4,0.6,0.9249999999999999,1.0,4.8,8.466666666666667,10.0,0.05,2.025,4.0,1
50,2021-05-28 00:00:00+03:00,15.1,18.0,21.6,758.5,759.925,761.5,50,78.0,96,0,1.75,3,0.75,0.8875,1.0,2.6,7.2875,10.0,0.05,0.175,0.3,1
51,2021-05-29 00:00:00+03:00,10.8,14.2875,17.2,756.8,757.7125,759.2,68,82.625,94,2,3.875,5,0.6,0.81875,1.0,3.0,8.5,10.0,0.0,11.5,23.0,1
52,2021-05-30 00:00:00+03:00,6.5,10.2625,13.3,760.1,762.1125,764.2,40,61.5,82,4,6.25,8,0.5,0.7375,1.0,10.0,10.0,10.0,0.0,0.025,0.05,1
53,2021-05-31 00:00:00+03:00,6.0,9.4625,13.1,763.9,764.95,765.7,37,56.875,69,4,4.375,5,0.25,0.7062499999999999,0.95,10.0,10.0,10.0,0.0,0.0,0.0,1
54,2021-06-01 00:00:00+03:00,-4.3,-3.9625,-3.3,767.6,768.85,770.7,86,88.375,90,3,3.875,5,0.95,0.99375,1.0,4.5,8.8125,10.0,0.0,0.025,0.05,1
55,2021-06-02 00:00:00+03:00,-17.6,-15.4125,-12.6,756.8,757.4,758.6,65,72.625,79,5,5.875,7,1.0,1.0,1.0,2.2,7.1,10.0,0.2,0.25,0.3,1
56,2021-06-03 00:00:00+03:00,-11.1,-7.7625,-4.8,760.9,761.7,762.9,60,76.0,90,3,3.625,5,0.25,0.4,0.6,10.0,10.0,10.0,0.0,0.025,0.05,1
57,2021-06-04 00:00:00+03:00,1.8,6.275,10.2,750.6,751.3,752.8,40,51.375,65,4,5.875,11,0.25,0.58125,1.0,10.0,10.0,10.0,0.0,0.0,0.0,1
58,2021-06-05 00:00:00+03:00,5.8,11.05,16.9,751.3,753.2875,755.2,48,68.875,91,2,6.0,10,0.5,0.79375,0.95,10.0,10.0,10.0,0.05,0.375,0.7,1
59,2021-06-06 00:00:00+03:00,11.6,17.375,22.2,759.4,760.95,762.5,49,70.625,88,1,3.875,7,0.05,0.46875,0.75,10.0,10.0,10.0,0.0,0.45,0.9,1
60,2021-06-07 00:00:00+03:00,15.5,21.725,26.8,762.5,763.325,763.9,34,53.25,74,2,3.875,5,0.05,0.325,0.6,10.0,10.0,10.0,0.0,0.0,0.0,1
61,2021-06-08 00:00:00+03:00,15.0,17.325,20.6,757.9,758.575,760.0,74,90.875,96,3,3.625,4,0.5,0.80625,1.0,7.0,9.428571428571429,10.0,4.0,5.0,6.0,1
62,2021-06-09 00:00:00+03:00,4.6,8.4875,12.8,765.8,766.475,767.0,47,71.125,90,4,4.875,6,0.25,0.55625,0.75,7.0,9.625,10.0,0.05,0.05,0.05,1
63,2021-06-10 00:00:00+03:00,3.8,8.4625,12.4,780.7,781.75,782.5,45,63.125,82,2,3.5,5,0.4,0.675,0.95,10.0,10.0,10.0,0.0,0.0,0.0,0
64,2021-06-11 00:00:00+03:00,6.8,8.275,11.7,756.7,758.0,758.8,69,77.375,87,6,8.0,11,0.5,0.7125,0.95,10.0,10.0,10.0,0.05,0.05,0.05,0
65,2021-06-12 00:00:00+03:00,-8.1,-6.8,-5.0,763.6,765.725,766.9,91,92.25,93,4,4.5,5,1.0,1.0,1.0,1.2,2.4125,4.1,0.3,0.5,0.7,1
66,2021-06-13 00:00:00+03:00,14.2,19.7875,24.4,754.1,754.675,755.8,45,67.875,94,1,2.625,5,0.4,0.6125,0.75,0.5,7.65,10.0,0.0,0.0,0.0,1
67,2021-06-14 00:00:00+03:00,15.8,21.425,26.5,757.0,759.2875,760.7,42,62.25,83,1,2.875,5,0.0,0.325,0.5,10.0,10.0,10.0,0.0,0.0,0.0,1
68,2021-06-15 00:00:00+03:00,16.5,21.95,27.0,756.9,759.45,761.4,47,67.625,89,1,2.375,7,0.25,0.525,0.75,6.0,9.5,10.0,0.0,0.025,0.05,1
69,2021-06-16 00:00:00+03:00,17.5,20.4625,22.9,757.3,759.7,763.0,33,55.0,77,3,5.25,7,0.25,0.4875,0.6,10.0,10.0,10.0,0.0,0.0,0.0,1
70,2021-06-17 00:00:00+03:00,13.7,19.475,23.6,764.2,766.9625,768.4,29,45.625,69,2,3.25,4,0.0,0.21875,0.25,10.0,10.0,10.0,0.0,0.0,0.0,1
71,2021-06-18 00:00:00+03:00,14.6,21.2125,25.8,768.4,769.7375,771.0,33,48.375,73,1,2.125,4,0.0,0.1,0.25,10.0,10.0,10.0,0.0,0.0,0.0,1
72,2021-06-19 00:00:00+03:00,17.3,22.95,27.9,766.6,768.4125,769.9,38,52.5,72,2,3.75,5,0.0,0.00625,0.05,4.7,9.3375,10.0,0.0,0.0,0.0,1
73,2021-06-20 00:00:00+03:00,18.1,24.55,29.7,764.4,766.2,767.5,39,54.25,73,0,2.125,3,0.0,0.03125,0.25,10.0,10.0,10.0,0.0,0.0,0.0,1
74,2021-06-21 00:00:00+03:00,21.0,25.9,30.0,764.4,765.1125,765.7,33,50.0,72,1,2.625,4,0.25,0.525,0.95,6.0,9.5,10.0,0.0,0.0,0.0,0
75,2021-06-22 00:00:00+03:00,20.7,26.887500000000003,32.2,764.0,765.05,766.0,32,51.125,77,0,2.25,4,0.0,0.575,0.95,8.0,9.75,10.0,0.0,0.0,0.0,0
76,2021-06-23 00:00:00+03:00,21.9,28.775,33.2,764.3,765.15,765.8,31,46.75,71,0,1.875,3,0.0,0.09375,0.25,10.0,10.0,10.0,0.0,0.0,0.0,0
77,2021-06-24 00:00:00+03:00,23.5,29.0,33.2,762.4,764.1375,765.4,36,50.25,71,0,2.375,5,0.0,0.18125000000000002,0.4,10.0,10.0,10.0,0.0,0.0,0.0,0
78,2021-06-25 00:00:00+03:00,22.9,27.5375,31.5,760.3,761.9625,763.0,42,54.125,73,1,3.125,7,0.5,0.6375,0.75,10.0,10.0,10.0,0.0,0.0,0.0,0
79,2021-06-26 00:00:00+03:00,21.2,27.175,31.9,757.8,759.6374999999999,761.1,36,53.75,77,2,3.0,4,0.5,0.5125,0.6,10.0,10.0,10.0,0.0,0.0,0.0,0
80,2021-06-27 00:00:00+03:00,19.7,26.585714285714285,32.0,756.6,758.0,758.8,41,62.42857142857143,94,1,3.0,5,0.25,0.5642857142857143,1.0,10.0,10.0,10.0,0.0,6.5,13.0,0
81,2021-06-28 00:00:00+03:00,19.3,21.5125,26.3,752.4,754.0625,756.8,69,83.25,89,2,3.5,5,0.0,0.6375,0.95,10.0,10.0,10.0,0.0,11.5,23.0,0
82,2021-06-29 00:00:00+03:00,17.4,18.7,20.7,752.2,753.025,754.1,80,86.125,90,5,5.75,7,0.75,0.9249999999999999,0.95,8.0,9.571428571428571,10.0,0.05,0.175,0.3,1
83,2021-06-30 00:00:00+03:00,15.3,16.875,18.7,753.7,754.0875,754.6,70,82.0,92,3,5.75,8,0.95,0.9624999999999999,1.0,4.8,9.35,10.0,0.0,0.025,0.05,1
84,2021-07-01 00:00:00+03:00,-5.7,-5.275,-4.5,764.1,765.875,767.8,84,87.625,91,4,4.0,4,1.0,1.0,1.0,1.9,4.6571428571428575,10.0,0.3,1.65,3.0,1
85,2021-07-02 00:00:00+03:00,-18.8,-14.8125,-12.0,759.4,759.9,760.9,68,76.125,80,4,5.75,8,0.6,0.91875,1.0,4.4,8.8,10.0,0.2,0.2,0.2,1
86,2021-07-03 00:00:00+03:00,-8.8,-6.0375,-3.6,744.7,749.2125,758.9,68,82.125,90,5,6.0,7,0.25,0.78125,1.0,0.9,5.15,10.0,0.9,1.45,2.0,1
87,2021-07-04 00:00:00+03:00,2.4,5.775,9.9,749.6,751.85,753.7,49,74.25,92,2,4.625,7,0.95,0.99375,1.0,4.5,9.3125,10.0,0.05,0.42500000000000004,0.8,1
88,2021-07-05 00:00:00+03:00,4.6,9.65,13.8,755.5,757.45,758.5,31,54.25,84,2,5.0,8,0.6,0.69375,0.75,10.0,10.0,10.0,0.0,0.0,0.0,1
89,2021-07-06 00:00:00+03:00,15.1,18.0,22.2,758.3,759.25,759.7,51,76.25,94,1,3.25,5,0.4,0.68125,1.0,3.8,8.2375,10.0,0.05,0.525,1.0,1
90,2021-07-07 00:00:00+03:00,15.9,22.4375,28.0,765.0,766.525,767.2,32,53.25,77,2,2.625,3,0.0,0.24375000000000002,0.4,10.0,10.0,10.0,0.0,0.0,0.0,1
91,2021-07-08 00:00:00+03:00,17.4,20.4125,26.4,755.9,756.6125,757.3,60,86.25,96,2,4.625,7,0.6,0.8125,1.0,6.0,8.875,10.0,2.0,2.5,3.0,1
92,2021-07-09 00:00:00+03:00,7.2,9.75,12.1,765.9,766.6,767.5,78,83.625,93,3,5.375,8,0.5,0.89375,1.0,10.0,10.0,10.0,2.0,2.0,2.0,1
93,2021-07-10 00:00:00+03:00,-0.3,5.4,11.6,781.3,782.6375,784.0,37,69.0,93,0,1.25,3,0.0,0.225,0.4,0.4,6.828571428571428,10.0,0.0,0.0,0.0,0
94,2021-07-11 00:00:00+03:00,3.8,5.0375,6.1,754.6,757.275,759.7,68,80.25,94,5,7.125,10,0.6,0.825,1.0,10.0,10.0,10.0,0.6,1.3,2.0,0
95,2021-07-12 00:00:00+03:00,-4.2,-2.575,-0.7,758.8,761.1875,765.2,92,94.25,97,2,4.375,6,0.95,0.9875,1.0,0.9,2.425,7.0,6.0,6.5,7.0,1
96,2021-07-13 00:00:00+03:00,20.7,27.225,32.1,761.7,763.25,764.3,33,49.5,76,1,2.125,3,0.0,0.09375,0.25,10.0,10.0,10.0,0.0,0.0,0.0,0
97,2021-07-14 00:00:00+03:00,21.2,27.375,32.9,760.0,761.625,762.7,30,51.625,76,1,3.25,5,0.0,0.2625,0.6,10.0,10.0,10.0,0.0,0.0,0.0,0
98,2021-07-15 00:00:00+03:00,19.9,22.900000000000002,30.1,758.3,759.3000000000001,760.4,47,76.0,88,1,2.0,3,0.25,0.55,0.95,7.0,9.571428571428571,10.0,0.0,8.0,16.0,1
99,2021-07-16 00:00:00+03:00,19.2,25.2625,30.4,757.1,758.225,759.0,41,64.375,91,2,3.0,5,0.25,0.3375,0.5,3.5,8.5625,10.0,0.0,0.0,0.0,1
100,2021-07-17 00:00:00+03:00,21.9,24.912499999999998,29.4,757.3,758.075,758.6,53,68.25,84,2,3.125,4,0.4,0.46875,0.75,7.0,9.625,10.0,0.0,0.0,0.0,0
101,2021-07-18 00:00:00+03:00,20.9,24.1125,29.4,755.2,756.6875,757.7,44,68.625,84,1,2.625,6,0.25,0.56875,0.95,8.0,9.75,10.0,0.0,0.2,0.4,0
102,2021-07-19 00:00:00+03:00,19.7,23.225,28.1,754.0,754.9125,755.4,44,73.25,96,3,4.125,5,0.4,0.75625,1.0,2.7,8.0,10.0,0.0,0.025,0.05,1
103,2021-07-20 00:00:00+03:00,18.3,22.075,24.9,754.9,755.6374999999999,756.1,37,59.0,84,2,4.875,8,0.05,0.49375,0.6,10.0,10.0,10.0,0.0,0.0,0.0,1
104,2021-07-21 00:00:00+03:00,15.4,19.625,23.4,754.6,755.9875,756.9,39,57.75,78,2,3.125,4,0.05,0.7999999999999999,1.0,10.0,10.0,10.0,0.0,0.0,0.0,1
105,2021-07-22 00:00:00+03:00,13.7,17.2,20.2,756.4,757.35,757.9,37,53.25,83,4,5.5,7,0.0,0.225,0.5,10.0,10.0,10.0,0.0,0.15,0.3,1
106,2021-07-23 00:00:00+03:00,12.8,16.2375,20.7,753.8,755.6,757.2,54,68.375,78,4,5.125,8,0.25,0.69375,0.95,10.0,10.0,10.0,0.05,0.42500000000000004,0.8,1
107,2021-07-24 00:00:00+03:00,13.2,16.975,20.0,756.8,759.4375,762.1,45,61.75,86,2,3.625,7,0.25,0.60625,0.95,9.0,9.875,10.0,0.05,2.525,5.0,1
108,2021-07-25 00:00:00+03:00,13.2,18.4125,22.9,763.3,764.7125,765.5,40,56.375,79,1,2.75,4,0.4,0.65,0.95,10.0,10.0,10.0,0.0,0.0,0.0,1
109,2021-07-26 00:00:00+03:00,13.8,20.6875,25.4,765.1,766.275,767.2,38,54.75,81,1,2.5,4,0.0,0.35,0.75,10.0,10.0,10.0,0.0,0.0,0.0,1
110,2021-07-27 00:00:00+03:00,15.9,22.7125,28.5,762.7,764.8,766.5,30,52.25,82,1,2.125,4,0.0,0.2,0.5,10.0,10.0,10.0,0.0,0.0,0.0,1
111,2021-07-28 00:00:00+03:00,16.8,19.3375,22.1,757.6,760.9375,763.4,66,76.625,93,3,3.875,6,0.25,0.7375,1.0,10.0,10.0,10.0,0.05,2.025,4.0,1
112,2021-07-29 00:00:00+03:00,18.0,20.85,24.8,753.6,754.7375,756.2,63,79.125,96,2,4.0,5,0.6,0.88125,1.0,2.2,8.2875,10.0,0.0,0.5,1.0,1
113,2021-07-30 00:00:00+03:00,18.9,21.0125,23.4,751.9,753.2125,754.4,71,82.125,91,1,3.125,6,0.75,0.825,0.95,10.0,10.0,10.0,0.8,0.9,1.0,1
114,2021-07-31 00:00:00+03:00,16.8,21.25,25.6,752.8,753.4375,755.3,37,62.0,91,4,5.875,9,0.0,0.35,0.6,10.0,10.0,10.0,0.0,0.0,0.0,1
115,2021-08-01 00:00:00+03:00,-5.9,-4.9125,-3.5,759.7,761.1625,763.6,89,90.375,92,5,5.25,6,1.0,1.0,1.0,3.8,6.616666666666667,10.0,0.05,0.125,0.2,1
116,2021-08-02 00:00:00+03:00,-21.0,-15.4,-10.9,762.7,765.5,767.2,70,76.57142857142857,81,3,3.857142857142857,5,0.5,0.8928571428571429,1.0,1.2,7.085714285714286,10.0,0.4,0.4,0.4,0
117,2021-08-03 00:00:00+03:00,-8.7,-6.9625,-5.6,746.2,750.2,756.9,65,78.0,85,3,5.5,8,0.4,0.85625,1.0,3.1,7.5375,10.0,1.0,1.5,2.0,1
118,2021-08-04 00:00:00+03:00,0.5,1.875,2.8,743.8,748.675,756.9,83,90.375,96,0,5.25,10,0.75,0.9375,1.0,1.8,5.8,10.0,4.0,4.0,4.0,1
119,2021-08-05 00:00:00+03:00,7.9,8.675,9.4,751.9,755.475,758.6,51,82.0,95,2,3.875,6,0.6,0.9,1.0,2.8,6.1499999999999995,10.0,5.0,17.5,30.0,1
120,2021-08-06 00:00:00+03:00,14.3,16.975,21.6,758.2,758.7875,759.3,58,80.5,91,2,3.5,7,0.5,0.69375,1.0,10.0,10.0,10.0,0.05,6.025,12.0,1
121,2021-08-07 00:00:00+03:00,18.6,24.775,29.6,767.2,768.425,769.4,33,48.5,68,1,2.5,4,0.25,0.425,0.6,10.0,10.0,10.0,0.0,0.0,0.0,1
122,2021-08-08 00:00:00+03:00,19.1,20.8375,23.4,758.1,760.3375,762.1,68,81.125,92,2,2.625,3,0.4,0.8125,0.95,10.0,10.0,10.0,1.0,1.0,1.0,1
123,2021-08-09 00:00:00+03:00,10.5,12.3375,14.0,761.7,763.8625,765.4,74,83.375,92,4,6.375,8,0.75,0.95625,1.0,10.0,10.0,10.0,0.4,1.7,3.0,1
124,2021-08-10 00:00:00+03:00,-0.9,5.475,12.2,780.1,781.325,782.2,39,65.125,91,0,1.75,3,0.0,0.05,0.25,4.9,8.379999999999999,10.0,0.0,0.0,0.0,1
125,2021-08-11 00:00:00+03:00,4.9,5.5625,6.3,749.9,751.7625,755.2,83,88.375,91,6,6.25,7,0.6,0.94375,1.0,9.0,9.875,10.0,2.0,2.0,2.0,1
126,2021-08-12 00:00:00+03:00,-11.4,-6.95,-1.6,760.8,764.6875,767.3,85,87.625,92,3,4.125,5,0.95,0.99375,1.0,6.0,9.25,10.0,0.0,0.025,0.05,0
127,2021-08-13 00:00:00+03:00,15.0,17.85,21.5,758.5,760.6875,764.2,58,77.0,94,4,5.625,9,0.25,0.5625,0.95,10.0,10.0,10.0,0.0,0.025,0.05,1
128,2021-08-25 00:00:00+03:00,8.0,14.275,19.0,761.3,763.35,765.0,41,62.25,85,1,2.375,5,0.05,0.48125,0.95,10.0,10.0,10.0,0.0,0.0,0.0,1
129,2021-08-26 00:00:00+03:00,12.8,15.75,18.8,760.0,760.9375,762.4,79,87.375,93,3,5.125,7,0.6,0.8937499999999999,1.0,6.0,9.5,10.0,0.05,1.525,3.0,1
130,2021-08-27 00:00:00+03:00,15.2,17.4375,21.9,763.0,764.55,766.0,46,80.25,95,4,6.125,9,0.6,0.85,1.0,4.7,8.671428571428573,10.0,0.0,0.5,1.0,1
131,2021-08-28 00:00:00+03:00,12.9,16.625,20.4,764.2,765.6125,766.6,47,68.75,85,5,6.625,8,0.25,0.49375,0.75,10.0,10.0,10.0,0.0,0.0,0.0,1
132,2021-08-29 00:00:00+03:00,12.9,17.9375,22.8,761.6,762.725,764.2,54,66.875,83,2,4.25,6,0.6,0.61875,0.75,7.0,9.625,10.0,0.0,0.0,0.0,1
133,2021-08-30 00:00:00+03:00,15.7,18.025,21.5,760.9,761.4125,761.8,74,86.375,94,1,3.125,5,0.6,0.88125,1.0,8.0,9.571428571428571,10.0,0.05,1.525,3.0,0
134,2021-08-31 00:00:00+03:00,16.1,19.2875,24.6,756.1,759.225,761.4,57,81.75,94,3,4.75,6,0.4,0.75625,1.0,3.9,8.0625,10.0,0.0,0.025,0.05,1
135,2021-09-01 00:00:00+03:00,-7.2,-6.65,-5.5,760.0,760.7375,761.3,86,87.0,88,4,4.25,5,0.95,0.99375,1.0,1.0,6.585714285714286,10.0,0.4,0.55,0.7,1
